Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
io.socket.emitter.Emitter$OnceListener::call([Ljava/lang/Object;)V,io.socket:engine.io-client:2.0.0,public,io.socket.emitter.Emitter::off(Ljava/lang/String;Lio/socket/emitter/Emitter$Listener;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::off(Ljava/lang/String;Lio/socket/emitter/Emitter$Listener;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,104,false,false,
okhttp3.internal.ws.WebSocketWriter$FrameSink::write(Lokio/Buffer;J)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::write(Lokio/Buffer;J)V,com.squareup.okio:okio:1.15.0,okio.Buffer::write(Lokio/Buffer;J)V,com.squareup.okio:okio:1.15.0,175,false,false,
okhttp3.internal.ws.WebSocketWriter::writeControlFrame(ILokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::write(Lokio/ByteString;)Lokio/Buffer;,com.squareup.okio:okio:1.15.0,okio.Buffer::write(Lokio/ByteString;)Lokio/Buffer;,com.squareup.okio:okio:1.15.0,40,false,false,
okhttp3.internal.ws.WebSocketWriter$FrameSink::close()V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::size()J,com.squareup.okio:okio:1.15.0,okio.Buffer::size()J,com.squareup.okio:okio:1.15.0,175,false,false,
okhttp3.internal.connection.RealConnection::connectSocket(IILokhttp3/Call;Lokhttp3/EventListener;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Okio::buffer(Lokio/Source;)Lokio/BufferedSource;,com.squareup.okio:okio:1.15.0,okio.Okio::buffer(Lokio/Source;)Lokio/BufferedSource;,com.squareup.okio:okio:1.15.0,167,false,false,
okhttp3.internal.ws.RealWebSocket::failWebSocket(Ljava/lang/Exception;Lokhttp3/Response;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okhttp3.WebSocketListener::onFailure(Lokhttp3/WebSocket;Ljava/lang/Throwable;Lokhttp3/Response;)V,com.squareup.okhttp3:okhttp:3.12.12,io.socket.engineio.client.transports.WebSocket$1::onFailure(Lokhttp3/WebSocket;Ljava/lang/Throwable;Lokhttp3/Response;)V,io.socket:engine.io-client:2.0.0,55,false,false,
io.socket.engineio.client.transports.PollingXHR$Request$1::onResponse(Lokhttp3/Call;Lokhttp3/Response;)V,io.socket:engine.io-client:2.0.0,public,okhttp3.Headers::toMultimap()Ljava/util/Map;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.Headers::toMultimap()Ljava/util/Map;,com.squareup.okhttp3:okhttp:3.12.12,225,false,false,
io.socket.emitter.Emitter::once(Ljava/lang/String;Lio/socket/emitter/Emitter$Listener;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,public,io.socket.emitter.Emitter::on(Ljava/lang/String;Lio/socket/emitter/Emitter$Listener;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager::on(Ljava/lang/String;Lio/socket/emitter/Emitter$Listener;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,4,false,false,
io.socket.engineio.client.transports.WebSocket::doOpen()V,io.socket:engine.io-client:2.0.0,public,okhttp3.WebSocket$Factory::newWebSocket(Lokhttp3/Request;Lokhttp3/WebSocketListener;)Lokhttp3/WebSocket;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.OkHttpClient::newWebSocket(Lokhttp3/Request;Lokhttp3/WebSocketListener;)Lokhttp3/WebSocket;,com.squareup.okhttp3:okhttp:3.12.12,61,false,false,
io.socket.parser.Binary::_deconstructPacket(Ljava/lang/Object;Ljava/util/List;)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONObject::put(Ljava/lang/String;I)Lorg/json/JSONObject;,org.json:json:20090211,org.json.JSONObject::put(Ljava/lang/String;I)Lorg/json/JSONObject;,org.json:json:20090211,12,false,false,
io.socket.emitter.Emitter::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,public,io.socket.emitter.Emitter$Listener::call([Ljava/lang/Object;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Socket$2$2::call([Ljava/lang/Object;)V,io.socket:socket.io-client:2.0.1,155,false,false,
okhttp3.internal.ws.WebSocketWriter::writeControlFrame(ILokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::readAndWriteUnsafe(Lokio/Buffer$UnsafeCursor;)Lokio/Buffer$UnsafeCursor;,com.squareup.okio:okio:1.15.0,okio.Buffer::readAndWriteUnsafe(Lokio/Buffer$UnsafeCursor;)Lokio/Buffer$UnsafeCursor;,com.squareup.okio:okio:1.15.0,40,false,false,
io.socket.parser.Binary::_deconstructPacket(Ljava/lang/Object;Ljava/util/List;)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONObject::put(Ljava/lang/String;Z)Lorg/json/JSONObject;,org.json:json:20090211,org.json.JSONObject::put(Ljava/lang/String;Z)Lorg/json/JSONObject;,org.json:json:20090211,12,false,false,
okhttp3.internal.ws.WebSocketWriter::writeControlFrame(ILokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.BufferedSink::flush()V,com.squareup.okio:okio:1.15.0,okio.RealBufferedSink::flush()V,com.squareup.okio:okio:1.15.0,40,false,false,
okhttp3.RealCall$AsyncCall::execute()V,com.squareup.okhttp3:okhttp:3.12.12,public,okhttp3.Callback::onResponse(Lokhttp3/Call;Lokhttp3/Response;)V,com.squareup.okhttp3:okhttp:3.12.12,io.socket.engineio.client.transports.PollingXHR$Request$1::onResponse(Lokhttp3/Call;Lokhttp3/Response;)V,io.socket:engine.io-client:2.0.0,225,false,false,
io.socket.engineio.client.Socket::onClose(Ljava/lang/String;Ljava/lang/Exception;)V,io.socket:engine.io-client:2.0.0,public,io.socket.engineio.client.Socket::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,70,false,false,
io.socket.client.Manager::open(Lio/socket/client/Manager$OpenCallback;)Lio/socket/client/Manager;,io.socket:socket.io-client:2.0.1,public,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,98,false,false,
io.socket.engineio.client.transports.PollingXHR$Request::create()V,io.socket:engine.io-client:2.0.0,public,okhttp3.Call::enqueue(Lokhttp3/Callback;)V,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.RealCall::enqueue(Lokhttp3/Callback;)V,com.squareup.okhttp3:okhttp:3.12.12,253,false,false,
okhttp3.internal.http1.Http1Codec::writeRequest(Lokhttp3/Headers;Ljava/lang/String;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.BufferedSink::writeUtf8(Ljava/lang/String;)Lokio/BufferedSink;,com.squareup.okio:okio:1.15.0,okio.RealBufferedSink::writeUtf8(Ljava/lang/String;)Lokio/BufferedSink;,com.squareup.okio:okio:1.15.0,10052,false,false,
io.socket.engineio.client.transports.PollingXHR$Request::create()V,io.socket:engine.io-client:2.0.0,public,okhttp3.RequestBody::create(Lokhttp3/MediaType;Ljava/lang/String;)Lokhttp3/RequestBody;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.RequestBody::create(Lokhttp3/MediaType;Ljava/lang/String;)Lokhttp3/RequestBody;,com.squareup.okhttp3:okhttp:3.12.12,92,false,false,
okhttp3.internal.ws.WebSocketWriter::writeMessageFrame(IJZZ)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::writeByte(I)Lokio/Buffer;,com.squareup.okio:okio:1.15.0,okio.Buffer::writeByte(I)Lokio/Buffer;,com.squareup.okio:okio:1.15.0,350,false,false,
io.socket.client.Manager$1::run()V,io.socket:socket.io-client:2.0.1,public,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,25,false,false,
okhttp3.internal.http1.Http1Codec::openResponseBody(Lokhttp3/Response;)Lokhttp3/ResponseBody;,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Okio::buffer(Lokio/Source;)Lokio/BufferedSource;,com.squareup.okio:okio:1.15.0,okio.Okio::buffer(Lokio/Source;)Lokio/BufferedSource;,com.squareup.okio:okio:1.15.0,225,false,false,
okhttp3.internal.connection.RealConnection::newCodec(Lokhttp3/OkHttpClient;Lokhttp3/Interceptor$Chain;Lokhttp3/internal/connection/StreamAllocation;)Lokhttp3/internal/http/HttpCodec;,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Timeout::timeout(JLjava/util/concurrent/TimeUnit;)Lokio/Timeout;,com.squareup.okio:okio:1.15.0,okio.Okio$4::timeout(JLjava/util/concurrent/TimeUnit;)Lokio/Timeout;,com.squareup.okio:okio:1.15.0,770,false,false,
io.socket.parser.Binary::_deconstructPacket(Ljava/lang/Object;Ljava/util/List;)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONObject::put(Ljava/lang/String;Ljava/lang/Object;)Lorg/json/JSONObject;,org.json:json:20090211,org.json.JSONObject::put(Ljava/lang/String;Ljava/lang/Object;)Lorg/json/JSONObject;,org.json:json:20090211,15,false,false,
io.socket.hasbinary.HasBinary::_hasBinary(Ljava/lang/Object;)Z,io.socket:socket.io-client:2.0.1,public,org.json.JSONObject::get(Ljava/lang/String;)Ljava/lang/Object;,org.json:json:20090211,org.json.JSONObject::get(Ljava/lang/String;)Ljava/lang/Object;,org.json:json:20090211,24,false,false,
io.socket.engineio.client.Socket::access$1600(Lio/socket/engineio/client/Socket;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::sendPacket(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::sendPacket(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Runnable;)V,io.socket:socket.io-client:2.0.1,159,false,false,
okhttp3.internal.ws.WebSocketWriter::writeMessageFrame(IJZZ)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer$UnsafeCursor::seek(J)I,com.squareup.okio:okio:1.15.0,okio.Buffer$UnsafeCursor::seek(J)I,com.squareup.okio:okio:1.15.0,175,false,false,
okhttp3.internal.ws.WebSocketWriter::writeControlFrame(ILokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer$UnsafeCursor::close()V,com.squareup.okio:okio:1.15.0,okio.Buffer$UnsafeCursor::close()V,com.squareup.okio:okio:1.15.0,40,false,false,
io.socket.engineio.client.HandshakeData::HandshakeData(Lorg/json/JSONObject;)V,io.socket:engine.io-client:2.0.0,public,org.json.JSONObject::getLong(Ljava/lang/String;)J,org.json:json:20090211,org.json.JSONObject::getLong(Ljava/lang/String;)J,org.json:json:20090211,126,false,false,
io.socket.engineio.client.transports.PollingXHR$Request::onLoad()V,io.socket:engine.io-client:2.0.0,public,okhttp3.ResponseBody::string()Ljava/lang/String;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.internal.http.RealResponseBody::string()Ljava/lang/String;,com.squareup.okhttp3:okhttp:3.12.12,225,false,false,
okhttp3.internal.http1.Http1Codec$FixedLengthSink::Http1Codec$FixedLengthSink(Lokhttp3/internal/http1/Http1Codec;J)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.BufferedSink::timeout()Lokio/Timeout;,com.squareup.okio:okio:1.15.0,okio.RealBufferedSink::timeout()Lokio/Timeout;,com.squareup.okio:okio:1.15.0,87,false,false,
io.socket.engineio.client.transports.WebSocket$3::call(Ljava/lang/Object;)V,io.socket:engine.io-client:2.0.0,public,okio.ByteString::of([B)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,okio.ByteString::of([B)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,4,false,false,
okio.ForwardingSink::write(Lokio/Buffer;J)V,com.squareup.okio:okio:1.15.0,public,okio.Sink::write(Lokio/Buffer;J)V,com.squareup.okio:okio:1.15.0,okhttp3.internal.http1.Http1Codec$FixedLengthSink::write(Lokio/Buffer;J)V,com.squareup.okhttp3:okhttp:3.12.12,87,false,false,
io.socket.client.Manager$7::run()V,io.socket:socket.io-client:2.0.1,public,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,24,false,false,
io.socket.engineio.client.Socket$9::call([Ljava/lang/Object;)V,io.socket:engine.io-client:2.0.0,public,io.socket.engineio.client.Socket::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,8,false,false,
io.socket.engineio.client.Socket::access$700(Lio/socket/engineio/client/Socket;Lio/socket/engineio/client/Transport;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::setTransport(Lio/socket/engineio/client/Transport;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::setTransport(Lio/socket/engineio/client/Transport;)V,io.socket:socket.io-client:2.0.1,121,false,false,
io.socket.parser.Binary::_deconstructPacket(Ljava/lang/Object;Ljava/util/List;)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONObject::keys()Ljava/util/Iterator;,org.json:json:20090211,org.json.JSONObject::keys()Ljava/util/Iterator;,org.json:json:20090211,8,false,false,
io.socket.parser.Binary::_reconstructPacket(Ljava/lang/Object;[[B)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONArray::get(I)Ljava/lang/Object;,org.json:json:20090211,org.json.JSONArray::get(I)Ljava/lang/Object;,org.json:json:20090211,18,false,false,
io.socket.engineio.client.transports.PollingXHR$Request::create()V,io.socket:engine.io-client:2.0.0,public,okhttp3.Call$Factory::newCall(Lokhttp3/Request;)Lokhttp3/Call;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.OkHttpClient::newCall(Lokhttp3/Request;)Lokhttp3/Call;,com.squareup.okhttp3:okhttp:3.12.12,253,false,false,
io.socket.parser.Binary::_deconstructPacket(Ljava/lang/Object;Ljava/util/List;)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONArray::length()I,org.json:json:20090211,org.json.JSONArray::length()I,org.json:json:20090211,10,false,false,
okhttp3.internal.connection.RealConnection::connectSocket(IILokhttp3/Call;Lokhttp3/EventListener;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Okio::sink(Ljava/net/Socket;)Lokio/Sink;,com.squareup.okio:okio:1.15.0,okio.Okio::sink(Ljava/net/Socket;)Lokio/Sink;,com.squareup.okio:okio:1.15.0,167,false,false,
okhttp3.internal.http1.Http1Codec::detachTimeout(Lokio/ForwardingTimeout;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.ForwardingTimeout::setDelegate(Lokio/Timeout;)Lokio/ForwardingTimeout;,com.squareup.okio:okio:1.15.0,okio.ForwardingTimeout::setDelegate(Lokio/Timeout;)Lokio/ForwardingTimeout;,com.squareup.okio:okio:1.15.0,312,false,false,
okhttp3.internal.http1.Http1Codec::detachTimeout(Lokio/ForwardingTimeout;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Timeout::clearTimeout()Lokio/Timeout;,com.squareup.okio:okio:1.15.0,okio.Okio$4::clearTimeout()Lokio/Timeout;,com.squareup.okio:okio:1.15.0,312,false,false,
okio.RealBufferedSink::close()V,com.squareup.okio:okio:1.15.0,public,okio.Sink::close()V,com.squareup.okio:okio:1.15.0,okhttp3.internal.ws.WebSocketWriter$FrameSink::close()V,com.squareup.okhttp3:okhttp:3.12.12,175,false,false,
io.socket.engineio.client.HandshakeData::HandshakeData(Lorg/json/JSONObject;)V,io.socket:engine.io-client:2.0.0,public,org.json.JSONObject::getJSONArray(Ljava/lang/String;)Lorg/json/JSONArray;,org.json:json:20090211,org.json.JSONObject::getJSONArray(Ljava/lang/String;)Lorg/json/JSONArray;,org.json:json:20090211,63,false,false,
io.socket.engineio.client.transports.PollingXHR$Request::onLoad()V,io.socket:engine.io-client:2.0.0,public,okhttp3.Response::body()Lokhttp3/ResponseBody;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.Response::body()Lokhttp3/ResponseBody;,com.squareup.okhttp3:okhttp:3.12.12,225,false,false,
okhttp3.internal.ws.RealWebSocket::close(ILjava/lang/String;J)Z,com.squareup.okhttp3:okhttp:3.12.12,public,okio.ByteString::encodeUtf8(Ljava/lang/String;)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,okio.ByteString::encodeUtf8(Ljava/lang/String;)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,61,false,false,
okhttp3.internal.ws.WebSocketWriter::writeMessageFrame(IJZZ)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::write(Lokio/Buffer;J)V,com.squareup.okio:okio:1.15.0,okio.Buffer::write(Lokio/Buffer;J)V,com.squareup.okio:okio:1.15.0,175,false,false,
okhttp3.internal.connection.RealConnection::connectTls(Lokhttp3/internal/connection/ConnectionSpecSelector;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Okio::buffer(Lokio/Sink;)Lokio/BufferedSink;,com.squareup.okio:okio:1.15.0,okio.Okio::buffer(Lokio/Sink;)Lokio/BufferedSink;,com.squareup.okio:okio:1.15.0,5,false,false,
io.socket.hasbinary.HasBinary::_hasBinary(Ljava/lang/Object;)Z,io.socket:socket.io-client:2.0.1,public,org.json.JSONArray::length()I,org.json:json:20090211,org.json.JSONArray::length()I,org.json:json:20090211,51,false,false,
okhttp3.internal.http1.Http1Codec::readHeaderLine()Ljava/lang/String;,com.squareup.okhttp3:okhttp:3.12.12,public,okio.BufferedSource::readUtf8LineStrict(J)Ljava/lang/String;,com.squareup.okio:okio:1.15.0,okio.RealBufferedSource::readUtf8LineStrict(J)Ljava/lang/String;,com.squareup.okio:okio:1.15.0,1980,false,false,
io.socket.engineio.client.Socket::sendPacket(Ljava/lang/String;[BLjava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::sendPacket(Lio/socket/engineio/parser/Packet;Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::sendPacket(Lio/socket/engineio/parser/Packet;Ljava/lang/Runnable;)V,io.socket:socket.io-client:2.0.1,4,false,false,
io.socket.engineio.client.Socket::onHandshake(Lio/socket/engineio/client/HandshakeData;)V,io.socket:engine.io-client:2.0.0,public,io.socket.engineio.client.Socket::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,63,false,false,
io.socket.hasbinary.HasBinary::_hasBinary(Ljava/lang/Object;)Z,io.socket:socket.io-client:2.0.1,public,org.json.JSONArray::get(I)Ljava/lang/Object;,org.json:json:20090211,org.json.JSONArray::get(I)Ljava/lang/Object;,org.json:json:20090211,92,false,false,
io.socket.engineio.client.Socket::onHeartbeat()V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::getHeartbeatScheduler()Ljava/util/concurrent/ScheduledExecutorService;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::getHeartbeatScheduler()Ljava/util/concurrent/ScheduledExecutorService;,io.socket:socket.io-client:2.0.1,227,false,false,
io.socket.client.Socket::close()Lio/socket/client/Socket;,io.socket:socket.io-client:2.0.1,public,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.thread.EventThread::exec(Ljava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,78,false,false,
io.socket.engineio.client.Socket::access$800(Lio/socket/engineio/client/Socket;Ljava/lang/String;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::onClose(Ljava/lang/String;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::onClose(Ljava/lang/String;)V,io.socket:socket.io-client:2.0.1,51,false,false,
okhttp3.internal.ws.RealWebSocket::checkResponse(Lokhttp3/Response;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.ByteString::encodeUtf8(Ljava/lang/String;)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,okio.ByteString::encodeUtf8(Ljava/lang/String;)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,61,false,false,
io.socket.engineio.client.Socket::access$1700(Lio/socket/engineio/client/Socket;Ljava/lang/String;[BLjava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::sendPacket(Ljava/lang/String;[BLjava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::sendPacket(Ljava/lang/String;[BLjava/lang/Runnable;)V,io.socket:socket.io-client:2.0.1,4,false,false,
io.socket.engineio.client.HandshakeData::HandshakeData(Lorg/json/JSONObject;)V,io.socket:engine.io-client:2.0.0,public,org.json.JSONArray::getString(I)Ljava/lang/String;,org.json:json:20090211,org.json.JSONArray::getString(I)Ljava/lang/String;,org.json:json:20090211,63,false,false,
io.socket.emitter.Emitter::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,public,io.socket.emitter.Emitter$Listener::call([Ljava/lang/Object;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$4::call([Ljava/lang/Object;)V,io.socket:socket.io-client:2.0.1,54,false,false,
io.socket.engineio.client.transports.PollingXHR$Request::create()V,io.socket:engine.io-client:2.0.0,public,okhttp3.HttpUrl::parse(Ljava/lang/String;)Lokhttp3/HttpUrl;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.HttpUrl::parse(Ljava/lang/String;)Lokhttp3/HttpUrl;,com.squareup.okhttp3:okhttp:3.12.12,253,false,false,
io.socket.engineio.client.Socket::onError(Ljava/lang/Exception;)V,io.socket:engine.io-client:2.0.0,public,io.socket.engineio.client.Socket::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,19,false,false,
io.socket.parser.Binary::_reconstructPacket(Ljava/lang/Object;[[B)Ljava/lang/Object;,io.socket:socket.io-client:2.0.1,public,org.json.JSONObject::put(Ljava/lang/String;Ljava/lang/Object;)Lorg/json/JSONObject;,org.json:json:20090211,org.json.JSONObject::put(Ljava/lang/String;Ljava/lang/Object;)Lorg/json/JSONObject;,org.json:json:20090211,15,false,false,
okhttp3.internal.ws.WebSocketReader::readHeader()V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.BufferedSource::readShort()S,com.squareup.okio:okio:1.15.0,okio.RealBufferedSource::readShort()S,com.squareup.okio:okio:1.15.0,1,false,false,
okhttp3.internal.connection.RealConnection::isHealthy(Z)Z,com.squareup.okhttp3:okhttp:3.12.12,public,okio.BufferedSource::exhausted()Z,com.squareup.okio:okio:1.15.0,okio.RealBufferedSource::exhausted()Z,com.squareup.okio:okio:1.15.0,88,false,false,
okhttp3.internal.http1.Http1Codec::detachTimeout(Lokio/ForwardingTimeout;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.ForwardingTimeout::delegate()Lokio/Timeout;,com.squareup.okio:okio:1.15.0,okio.ForwardingTimeout::delegate()Lokio/Timeout;,com.squareup.okio:okio:1.15.0,312,false,false,
io.socket.engineio.client.Socket::access$1000(Lio/socket/engineio/client/Socket;Lio/socket/engineio/parser/Packet;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::onPacket(Lio/socket/engineio/parser/Packet;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::onPacket(Lio/socket/engineio/parser/Packet;)V,io.socket:socket.io-client:2.0.1,227,false,false,
io.socket.engineio.client.Socket::probe(Ljava/lang/String;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::createTransport(Ljava/lang/String;)Lio/socket/engineio/client/Transport;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::createTransport(Ljava/lang/String;)Lio/socket/engineio/client/Transport;,io.socket:socket.io-client:2.0.1,59,false,false,
io.socket.engineio.client.Socket::createTransport(Ljava/lang/String;)Lio/socket/engineio/client/Transport;,io.socket:engine.io-client:2.0.0,public,io.socket.engineio.client.Socket::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::emit(Ljava/lang/String;[Ljava/lang/Object;)Lio/socket/emitter/Emitter;,io.socket:socket.io-client:2.0.1,129,false,false,
io.socket.engineio.client.transports.WebSocket$1::onOpen(Lokhttp3/WebSocket;Lokhttp3/Response;)V,io.socket:engine.io-client:2.0.0,public,okhttp3.Response::headers()Lokhttp3/Headers;,com.squareup.okhttp3:okhttp:3.12.12,okhttp3.Response::headers()Lokhttp3/Headers;,com.squareup.okhttp3:okhttp:3.12.12,61,false,false,
okhttp3.internal.ws.RealWebSocket::onReadMessage(Lokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okhttp3.WebSocketListener::onMessage(Lokhttp3/WebSocket;Lokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,io.socket.engineio.client.transports.WebSocket$1::onMessage(Lokhttp3/WebSocket;Lokio/ByteString;)V,io.socket:engine.io-client:2.0.0,5,false,false,
io.socket.engineio.client.Socket::write([BLjava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,public,io.socket.engineio.client.Socket::send([BLjava/lang/Runnable;)V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::send([BLjava/lang/Runnable;)V,io.socket:socket.io-client:2.0.1,4,false,false,
okhttp3.internal.ws.RealWebSocket::RealWebSocket(Lokhttp3/Request;Lokhttp3/WebSocketListener;Ljava/util/Random;J)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.ByteString::of([B)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,okio.ByteString::of([B)Lokio/ByteString;,com.squareup.okio:okio:1.15.0,61,false,false,
okhttp3.internal.ws.WebSocketWriter::writeClose(ILokio/ByteString;)V,com.squareup.okhttp3:okhttp:3.12.12,public,okio.Buffer::readByteString()Lokio/ByteString;,com.squareup.okio:okio:1.15.0,okio.Buffer::readByteString()Lokio/ByteString;,com.squareup.okio:okio:1.15.0,40,false,false,
io.socket.engineio.client.Socket::access$000(Lio/socket/engineio/client/Socket;)V,io.socket:engine.io-client:2.0.0,private,io.socket.engineio.client.Socket::onHeartbeat()V,io.socket:engine.io-client:2.0.0,io.socket.client.Manager$Engine::onHeartbeat()V,io.socket:socket.io-client:2.0.1,164,false,false,
